District,Chiefdom,Section,Community,Community Name,7430032|Water point Name,2420047|Latitude,--GEOLON--|Longitude,--GEOELE--|Elevation,--GEOCODE--|Geo Code,Photo,|Type of water point,Extraction system type,Pump type,Number of taps at this point,Are you able to measure the depth of well?,Measure the depth of the well (in metres),Water point Functionality,When did the water point break down?,"Last time the water point broke down, how long did it take to repair?",Is/was this point monthly or regularly chlorinated?,Does this Water point have any damage?,Is water available throughout the year?,"During the seasonal drought of the well, how long is it not available? (months)",Is/was this point used for drinking water,Why is this point not used for drinking water?,Is the water paid for at this point?,How reliable is the water point?,Is the water clean or is there a quality problem?,Year of construction,Installer / implementing agency,Others Installer / implementing agency,Who owns the water point?,Who is maintaining the water point (routine repairs)?,Is there a WASH management committee?,Is the WASH management committee functioning?,Is there a trained mechanic available at this point?,Were trained mechanics provided with toolkits?,How many minutes does it take to reach the nearest spare part supplier?,Has the community been declared ODF?,Do you think the community is still ODF?,Are there functioning latrines in this village?,Do the latrines have handwashing facilities?,Are there trained natural ODF leaders in this community?,Are the trained natural ODF leaders performing their role effectively?,Observations about toilet,Observe presence of water at the specific place for hand washing,Observe what device is present for hand washing,Record if soap or detergent is present at the specific place for hand washing
North,Bombali,Tambakha,Simibue,Samaia,Samaia Community,9.512096436317174,-12.394111901572101,103.8,c4z9cpd1,https://akvoflow-110.s3.amazonaws.com/images/ea1cc7e1-a1e7-4b1e-af01-607998bb915d.jpg,5:Sand/Sub-surface dam (with well or standpipe),2:Submersible pump,,One,,,2:Yes – Functional (but not in use),,1:Water point has never broken down,No,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",,2015,World Hope,World Hope,1:Community,1:WASH management committee,1:Yes,1:Yes,No,,120,No,,,,,,1:Visible faecal residues around the drop hole or basin,2:Water is not available,1:No device present,5:None
North,Bombali,Tambakha,Simibue,Samaia,Samaia Community Tap,9.512422946032506,-12.394102789356305,112.9,c4zt00bp,https://akvoflow-110.s3.amazonaws.com/images/04608031-8cd8-4489-b8d4-8c495d417d0d.jpg,5:Sand/Sub-surface dam (with well or standpipe),2:Submersible pump,,One,,,2:Yes – Functional (but not in use),,1:Water point has never broken down,No,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",,2015,World Hope,World Hope,1:Community,1:WASH management committee,1:Yes,1:Yes,No,,120,No,,,,,,5:The toilet smells bad,2:Water is not available,1:No device present,5:None
North,Tonkolili,Kholifa Rowala,Makump,ropolo,rc ropolo water point,8.708833710649156,-11.930794541211757,149,b42tbnij,https://akvoflow-110.s3.amazonaws.com/images/f995a555-802a-4ed5-959d-1d83bd8ebbb8.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2013,UNICEF,pact,1:Community,OTHER:school,1:Yes,1:Yes,No,,30,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
North,Bombali,Sella Limba,Magbonkoni II,Kamabaio,Kamabaio com well 1.,9.462982542914789,-12.294361982519032,0,c2q1gwqn,https://akvoflow-110.s3.amazonaws.com/images/d2d71934-86ed-4c19-953c-a7ca1b0134ec.jpg,3:Tube well or borehole,1:Hand pump,6:PB Mark II,,2:No,,1:Yes – Functional (and in use),,4:Over a month,No,2:Damaged Apron|6:Damaged Concrete,Seasonal,2,1:Yes,,"2:Yes, Per jerrican 20L",3:Insufficient (> 7 days per month no supply),1:Crystal clear,1990,JICA,Inter aide.,1:Community,10:NGO,1:Yes,1:Yes,No,,35,Yes,No,Yes,No,Yes,No,,,,
North,Port Loko,Masimera,Nonkoba,Kukuna,Kukuna,8.63735655,-12.56917477,98,b0sllccb,https://akvoflow-110.s3.amazonaws.com/images/82ae7b03-c64b-4ccd-a282-d3b93b09465d.jpg,2:Protected dug well,1:Hand pump,6:PB Mark II,,1:Yes,15,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2012,Religious Group,AID Salone,1:Community,10:NGO,2:No,,No,,180,Yes,Don't know,Yes,No,Yes,Yes,6:Toilet looks good,1:Water is available,2:Tap,5:None
North,Port Loko,Masimera,Masimera,Masimera Town,Old MCHP Water well,8.646052469079834,-12.44950465094948,108.1,b16zkfpr,https://akvoflow-110.s3.amazonaws.com/images/6ee4cc53-209e-465d-bf8b-d638a3e6ffd4.jpg,2:Protected dug well,1:Hand pump,6:PB Mark II,,2:No,,6:No - Under rehabilitation,4:Over a year ago,5:More than a year,Yes,3:Damaged Pump|4:Damaged Pipe,Always water,,1:Yes,,,,,2010,Government,Team&Team,1:Community,2:Other community group,2:No,,No,,120,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,5:Water kettle/cooler,5:None
North,Tonkolili,Kholifa Rowala,Bo Road,Hospital Quarters,Protected Hand Dug Well,8.721805127580035,-11.93914210299524,64.7,b4o9iv6n,https://akvoflow-110.s3.amazonaws.com/images/abeeddca-0868-4fd7-8234-3d94ad928f3e.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,4:Over a month,Yes,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2005,EU,Tonkolili District Council,6:Health Facility,7:Health Facility,3:Unknown,,Yes,999:Don't know,30,Don't know,,,,,,4:Surface flow of sewage|6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
North,Tonkolili,,,.Mange bana,Mange bana,8.583292260924974,-11.952639740724678,111.4,ayb6zvae,https://akvoflow-110.s3.amazonaws.com/images/109f65e4-7db8-473b-82c6-856633853b62.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,2:Yes – Functional (but not in use),,3:Over a week,No,9:No Damages,Seasonal,2,2:No,teast problem,1:No payment – its free,"1:Good, practically always",,2005,:Don't know,government,1:Community,11:No management,2:No,,No,,0,No,,,,,,4:Surface flow of sewage|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
North,Tonkolili,Yoni,Mamaka,old Mathoir,school,8.47588034582378,-12.410978589664001,126.6,atdk326l,https://akvoflow-110.s3.amazonaws.com/images/5cbb31e1-f5ea-4f2c-a2e6-7f3b8d9915e2.jpg,2:Protected dug well,1:Hand pump,1:Afridev,,2:No,,4:No - Broken down,4:Over a year ago,5:More than a year,No,6:Damaged Concrete|OTHER:seel,Always water,,1:Yes,,,,,2004,Other,living water international,5:School,6:School,2:No,,No,,40,No,,,,,,5:The toilet smells bad,2:Water is not available,1:No device present,5:None
North,Koinadugu,Nieni,Kalian,Liroh school pump,Hand dug well,9.06049694,-11.44287555,413,bk8e8z0c,https://akvoflow-110.s3.amazonaws.com/images/484e6d82-4c73-4dcf-bdac-984cba7be9ed.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2016,:Don't know,Dont know,5:School,12:Uknown,3:Unknown,,Unknown,,300,No,,,,,,1:Visible faecal residues around the drop hole or basin|2:Visible faecal residues on the floor-wall or door|3:Visible used anal cleaning material(e.g. Toilet paper)|6:Toilet looks good,2:Water is not available,1:No device present,5:None
North,Koinadugu, Wara Wara Yagala,Zone 2,Kabala,pump lane water point,9.57914257,-11.54743225,462,c825bxxu,https://akvoflow-110.s3.amazonaws.com/images/da8b89da-301a-4ca3-a9c3-107a2e96b05c.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2009,Private,Mr LMBC Marah,8:Private Individual,3:Privat owner,3:Unknown,,Unknown,,16,No,,,,,,6:Toilet looks good,1:Water is available,4:Sink,3:Liquid soap
North,Bombali,Makari Gbanti,Gborbana,Gbasia,Gbasua Community Well,8.928200500230092,-12.007916648558565,157.1,be5m1pn3,https://akvoflow-110.s3.amazonaws.com/images/f412980a-b4c3-49bb-8ea9-50ae5e6ccb1b.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,4:No - Broken down,4:Over a year ago,6:I don't know,Yes,8:Damaged Reservoir,Dry always / Never water,,2:No,Because it is damaged,,,,1986,PLAN,"Action Aid,Bombali District Council",1:Community,1:WASH management committee,1:Yes,1:Yes,Yes,2:No,60,No,,,,,,5:The toilet smells bad,2:Water is not available,5:Water kettle/cooler,1:Bar soap
North,Koinadugu,Nieni,Barawa,Firawa,Hand dug well,9.35851406,-11.30125867,454,bxx9l8ac,https://akvoflow-110.s3.amazonaws.com/images/8b84d4df-5bcb-41d4-ae15-255c2739a4d1.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,4:No - Broken down,4:Over a year ago,5:More than a year,No,2:Damaged Apron|4:Damaged Pipe|6:Damaged Concrete|OTHER:Loose connection and no manhole covet,Always water,,2:No,Broken down and unclean water,,,,1986,Government,Government,1:Community,2:Other community group,2:No,,Yes,2:No,120,No,,,,,,7:No toilet in household / not applicable,1:Water is available,1:No device present,5:None
North,Port Loko,Kaffu Bullom,Kasongha,Royeama Kambis,Private well,8.59350353701564,-13.177595498907978,49.2,ays2vpdr,https://akvoflow-110.s3.amazonaws.com/images/7aafea5c-6018-43ae-8ee8-cd995601a2a1.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,5:Damaged Tap,Dry always / Never water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2015,Private,Private well,8:Private Individual,3:Privat owner,1:Yes,2:No,No,,60,Yes,No,Yes,No,No,,1:Visible faecal residues around the drop hole or basin|6:Toilet looks good,2:Water is not available,5:Water kettle/cooler,1:Bar soap
North,Tonkolili,Kholifa Rowala,Makump,maqu,maqu water point 2,8.667787325892228,-11.91821568418519,128.6,b26xb95a,https://akvoflow-110.s3.amazonaws.com/images/87bff157-462f-41d4-a0bf-71a7fa9eece8.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,2:No,,1:Yes – Functional (and in use),,5:More than a year,No,6:Damaged Concrete,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,1999,Care,care,1:Community,3:Privat owner,2:No,,No,,60,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
