District,Chiefdom,Section,Community,Community Name,7430032|Water point Name,2420047|Latitude,--GEOLON--|Longitude,--GEOELE--|Elevation,--GEOCODE--|Geo Code,Photo,|Type of water point,Extraction system type,Pump type,Number of taps at this point,Are you able to measure the depth of well?,Measure the depth of the well (in metres),Water point Functionality,When did the water point break down?,"Last time the water point broke down, how long did it take to repair?",Is/was this point monthly or regularly chlorinated?,Does this Water point have any damage?,Is water available throughout the year?,"During the seasonal drought of the well, how long is it not available? (months)",Is/was this point used for drinking water,Why is this point not used for drinking water?,Is the water paid for at this point?,How reliable is the water point?,Is the water clean or is there a quality problem?,Year of construction,Installer / implementing agency,Others Installer / implementing agency,Who owns the water point?,Who is maintaining the water point (routine repairs)?,Is there a WASH management committee?,Is the WASH management committee functioning?,Is there a trained mechanic available at this point?,Were trained mechanics provided with toolkits?,How many minutes does it take to reach the nearest spare part supplier?,Has the community been declared ODF?,Do you think the community is still ODF?,Are there functioning latrines in this village?,Do the latrines have handwashing facilities?,Are there trained natural ODF leaders in this community?,Are the trained natural ODF leaders performing their role effectively?,Observations about toilet,Observe presence of water at the specific place for hand washing,Observe what device is present for hand washing,Record if soap or detergent is present at the specific place for hand washing
South,Bonthe,Bonthe Urban,Bonthe Town,semabu,Community pump,7.52365785,-12.50099891,50,9lmqrpu9,https://akvoflow-110.s3.amazonaws.com/images/d3566ffb-ac30-4181-b293-a5fb0404f958.jpg,3:Tube well or borehole,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Unkown,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2012,Government,council,1:Community,11:No management,3:Unknown,,Unknown,,85,Don't know,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
South,Bo,Bo Town,West Ward-Nikibu - Bo School,Jusu Stre Nikibu Section,2Jusu street Nikibu section,7.958621813083031,-11.754123483163328,6.5,a5m3r82t,https://akvoflow-110.s3.amazonaws.com/images/491afa05-644d-4f71-af76-f8258392433e.jpg,9:Unprotected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,1:Yes,10,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Always water,,2:No,water has clay Colour,1:No payment – its free,"1:Good, practically always","2:Coloured (e.g. whitish, brown, green)",2007,,Private Individual,8:Private Individual,3:Privat owner,2:No,,,,30,No,,,,,,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
South,Bonthe,Jong,Tucker-Nyambe,komende,komende MCHP water point,7.51561116,-12.2326248,52,9l9g35ee,https://akvoflow-110.s3.amazonaws.com/images/d8e5ba85-bf4b-4ff3-a22e-103c4b88be3c.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,2:Damaged Apron,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2003,World Vision,World vision,6:Health Facility,7:Health Facility,3:Unknown,,No,,120,Yes,No,Yes,Yes,Don't know,,6:Toilet looks good,1:Water is available,3:Bucket,2:Detergent (Powder / Liquid / Paste)
South,Bo,Bo Town,West Ward-Nikibu - Bo School,10 Jusu Lane,No Name private individual,7.958551199053944,-11.754456745401578,101,a5lzl6ug,https://akvoflow-110.s3.amazonaws.com/images/678bf3c8-cc3f-42cb-89a9-291f027894e7.jpg,9:Unprotected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Seasonal,3,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2004,,Private Individual,8:Private Individual,3:Privat owner,2:No,,,,40,No,,,,,,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,1:Bar soap
South,Moyamba,Ribbi,Mokera,Rosent village,Rosent community well,8.35885466,-12.78134629,60,ao00f8g5,https://akvoflow-110.s3.amazonaws.com/images/aa4ff872-1f40-43f0-b3e6-90c4dd6254e2.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,2:Yes – Functional (but not in use),,4:Over a month,No,3:Damaged Pump|4:Damaged Pipe,Always water,,1:Yes,,1:No payment – its free,2:Reasonable (< 7 days per month no supply),,1998,Care,Cord sl,1:Community,2:Other community group,3:Unknown,,No,,0,No,,,,,,1:Visible faecal residues around the drop hole or basin|4:Surface flow of sewage|5:The toilet smells bad,2:Water is not available,3:Bucket,5:None
South,Pujehun,Soro Gbema,Zoker I,Fairo,Hand dug well,7.09171716,-11.4038811,47,91se65o6,https://akvoflow-110.s3.amazonaws.com/images/aa57491d-dcd5-4329-be4e-4c3ee1438032.jpg,2:Protected dug well,1:Hand pump,1:Afridev,,2:No,,1:Yes – Functional (and in use),,1:Water point has never broken down,Yes,9:No Damages,Always water,,1:Yes,,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2016,Private,Private Individual,8:Private Individual,3:Privat owner,2:No,,Yes,1:Yes,400,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
South,Pujehun,Barri,Dakona,Mano Dakona,Mano borehole,7.39974986,-11.4154539,60,9fxthcoa,https://akvoflow-110.s3.amazonaws.com/images/eee62f0b-c4d5-4270-b729-c0efe59f146e.jpg,3:Tube well or borehole,1:Hand pump,11:Kardia,,2:No,,1:Yes – Functional (and in use),,6:I don't know,No,9:No Damages,Seasonal,3,1:Yes,,1:No payment – its free,2:Reasonable (< 7 days per month no supply),1:Crystal clear,1988,Other,Bo/Pujehun,1:Community,1:WASH management committee,1:Yes,2:No,Yes,2:No,200,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
South,Bonthe,Bum,Yargbe,Judia,ICS primary school judia,7.39519363,-11.93851937,79,9fqal8gp,https://akvoflow-110.s3.amazonaws.com/images/1f2bc07c-bfa2-4520-b6ec-e38d79a339f4.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,,2:No,,4:No - Broken down,4:Over a year ago,6:I don't know,No,1:Damaged Well|2:Damaged Apron|3:Damaged Pump|4:Damaged Pipe|6:Damaged Concrete,Seasonal,2,2:No,It is not functioning,,,,2011,World Vision,,5:School,11:No management,3:Unknown,,Unknown,,180,Don't know,,,,,,5:The toilet smells bad,2:Water is not available,1:No device present,5:None
South,Pujehun,Soro Gbema,,Gonghun,Borehole,7.02562194,-11.40657175,73,8yr3ccnl,https://akvoflow-110.s3.amazonaws.com/images/702faaf1-0999-48c6-b58d-f7c14eb568f0.jpg,3:Tube well or borehole,1:Hand pump,11:Kardia,,2:No,,4:No - Broken down,4:Over a year ago,5:More than a year,No,2:Damaged Apron|3:Damaged Pump,Always water,,1:Yes,,,,,1986,Government,Bo/Pujehun,1:Community,11:No management,2:No,,Yes,2:No,450,No,,,,,,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
South,Bo,Bo Town,East Ward-Moriba Town-New  site,Moriba Town,Jaka Street  Moriba Town Well,7.959608831723849,-11.734182623685532,101.8,a5nq3p7h,https://akvoflow-110.s3.amazonaws.com/images/fdb13066-77d8-4808-979e-1321090a5a30.jpg,9:Unprotected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",,,2:No,,1:Yes – Functional (and in use),,4:Over a month,Yes,2:Damaged Apron,Seasonal,2,2:No,Dried,1:No payment – its free,"1:Good, practically always",1:Crystal clear,1970,,House owner,1:Community,4:SALWACO,3:Unknown,,,,30,Don't know,,,,,,5:The toilet smells bad|6:Toilet looks good,2:Water is not available,1:No device present,5:None
