District,Chiefdom,Section,Community,Community Name,7430032|Water point Name,2420047|Latitude,--GEOLON--|Longitude,--GEOELE--|Elevation,--GEOCODE--|Geo Code,Photo,|Type of water point,Extraction system type,Pump type,Number of taps at this point,Are you able to measure the depth of well?,Measure the depth of the well (in metres),Water point Functionality,When did the water point break down?,"Last time the water point broke down, how long did it take to repair?",Is/was this point monthly or regularly chlorinated?,Does this Water point have any damage?,Is water available throughout the year?,"During the seasonal drought of the well, how long is it not available? (months)",Is/was this point used for drinking water,Why is this point not used for drinking water?,Is the water paid for at this point?,How reliable is the water point?,Is the water clean or is there a quality problem?,Year of construction,Installer / implementing agency,Others Installer / implementing agency,Who owns the water point?,Who is maintaining the water point (routine repairs)?,Is there a WASH management committee?,Is the WASH management committee functioning?,Is there a trained mechanic available at this point?,Were trained mechanics provided with toolkits?,How many minutes does it take to reach the nearest spare part supplier?,Has the community been declared ODF?,Do you think the community is still ODF?,Are there functioning latrines in this village?,Do the latrines have handwashing facilities?,Are there trained natural ODF leaders in this community?,Are the trained natural ODF leaders performing their role effectively?,Observations about toilet,Observe presence of water at the specific place for hand washing,Observe what device is present for hand washing,Record if soap or detergent is present at the specific place for hand washing
East,Kono,Nimikoro,Jaiama,Jiama,public stand,8.541576,-11.088577,424,awe738th,https://akvoflow-110.s3.amazonaws.com/images/286e1acf-cefb-441e-a79f-f493dceaae29.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,<Null>,1,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,2:Less than a week,<Null>,5:Damaged Tap,Seasonal,2,1:Yes,<Null>,"4:Yes, Flat rate (LE/HH/month)",2:Reasonable (< 7 days per month no supply),1:Crystal clear,2005,Community,not applicable,1:Community,6:School,1:Yes,99:Don't know,Unknown,<Null>,35,Yes,Yes,Yes,Don't know,Don't know,<Null>,1:Visible faecal residues around the drop hole or basin|2:Visible faecal residues on the floor-wall or door|3:Visible used anal cleaning material(e.g. Toilet paper)|4:Surface flow of sewage|5:The toilet smells bad,2:Water is not available,1:No device present,5:None
East,Kono,Gbense,Moindekor,Hill station,community well,8.648707,-10.961156,384,b1bdbzjf,https://akvoflow-110.s3.amazonaws.com/images/55d7feb4-84e2-46cd-88d1-cd767d2ce198.jpg,2:Protected dug well,1:Hand pump,5:Inkar,<Null>,1:Yes,13,1:Yes – Functional (and in use),<Null>,2:Less than a week,Yes,2:Damaged Apron|6:Damaged Concrete|OTHER:No fence round the well,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2009,Other,District  council,1:Community,2:Other community group,2:No,<Null>,No,<Null>,15,No,<Null>,<Null>,<Null>,<Null>,<Null>,1:Visible faecal residues around the drop hole or basin|4:Surface flow of sewage|5:The toilet smells bad,2:Water is not available,5:Water kettle/cooler,5:None
East,Kono,Soa,Tensekor,Koakor Village,Community Well,8.595219,-10.628196,379,ayuwoa5l,https://akvoflow-110.s3.amazonaws.com/images/9bbfca39-c729-44c4-b7aa-116d73f6f716.jpg,3:Tube well or borehole,1:Hand pump,11:Kardia,<Null>,2:No,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,No,9:No Damages|OTHER:No Fance,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2004,Peace Wind japan,Community People,1:Community,2:Other community group,1:Yes,1:Yes,No,<Null>,230,No,<Null>,<Null>,<Null>,<Null>,<Null>,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
East,Kono,Nimikoro,Jaiama,Njala,public Stand post,8.574217,-11.053472,436,axw6e32e,https://akvoflow-110.s3.amazonaws.com/images/348f271a-69c0-46d9-ad69-73398d42d798.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,<Null>,one,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,<Null>,4:Damaged Pipe|5:Damaged Tap,Always water,<Null>,1:Yes,<Null>,"4:Yes, Flat rate (LE/HH/month)","1:Good, practically always",1:Crystal clear,1992,Water Aid,<Null>,1:Community,2:Other community group,2:No,<Null>,No,<Null>,90,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,2:Water is not available,1:No device present,5:None
East,Kono,Gbense,Moindefeh,Hill station community,Kamamda family,8.644377,-10.953747,432,b147jajl,https://akvoflow-110.s3.amazonaws.com/images/813b3a5b-0657-4ec6-9cb1-be9ba0bdece0.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",<Null>,<Null>,1:Yes,7,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,Yes,9:No Damages,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2014,Private,Private owner,8:Private Individual,3:Privat owner,2:No,<Null>,No,<Null>,15,Yes,Yes,Yes,Yes,No,<Null>,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,5:None
East,Kono,Nimiyama,Njaifeh,masingbi  Road,masingbi  Road,8.541079,-11.24472,320,awddblrz,https://akvoflow-110.s3.amazonaws.com/images/bc51ddcd-97bc-4e76-ac1e-4ff8fae6da5e.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,<Null>,1,<Null>,<Null>,3:Yes - But damaged,<Null>,4:Over a month,<Null>,3:Damaged Pump|5:Damaged Tap|6:Damaged Concrete,Seasonal,3,1:Yes,<Null>,"4:Yes, Flat rate (LE/HH/month)","1:Good, practically always",1:Crystal clear,1990,Water Aid,water  aid,1:Community,1:WASH management committee,1:Yes,1:Yes,Yes,1:Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,2:Visible faecal residues on the floor-wall or door|3:Visible used anal cleaning material(e.g. Toilet paper)|4:Surface flow of sewage,2:Water is not available,1:No device present,5:None
East,Kono,Koidu City,Tankoro-Lebanon,Koidu city,Hand Dug Well,8.63125,-10.993212,398,b0iht5kc,https://akvoflow-110.s3.amazonaws.com/images/29b2be90-b371-470d-9bb9-7011f9364673.jpg,OTHER:Protected Shallow Well,<Null>,<Null>,<Null>,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,<Null>,<Null>,<Null>,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2008,<Null>,<Null>,8:Private Individual,3:Privat owner,2:No,<Null>,<Null>,<Null>,30,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,2:Water is not available,1:No device present,5:None
East,Kono,Kamara,Kongofinja,Tombodu,Tombodu  community,8.70194,-11.011192,394,b3reid0f,https://akvoflow-110.s3.amazonaws.com/images/20f781ff-5228-4b3f-953b-cc43c360fee1.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,<Null>,2:No,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,Yes,9:No Damages,Seasonal,3,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2016,Other,Muwoda,6:Health Facility,7:Health Facility,1:Yes,1:Yes,No,<Null>,60,Yes,Yes,Yes,Yes,Yes,Yes,6:Toilet looks good,1:Water is available,3:Bucket,2:Detergent (Powder / Liquid / Paste)
East,Kono,Soa,Kokongokuma,Fembedu Village,Community Stand Tap,8.607336,-10.731422,638,azey9o4y,https://akvoflow-110.s3.amazonaws.com/images/634c9a18-4d01-4482-8947-c9892d15bfe8.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,<Null>,1,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,3:Over a week,<Null>,5:Damaged Tap,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2005,World Vision,None,1:Community,2:Other community group,1:Yes,1:Yes,Yes,1:Yes,175,No,<Null>,<Null>,<Null>,<Null>,<Null>,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
East,Kenema,Dama,Danyadejo,Gbewordu Dama,Mohamed Mansaray - Ptotected Hand Dug Well,7.699142,-11.136698,191.1,9toyzedi,https://akvoflow-110.s3.amazonaws.com/images/0e2cfc6d-e5ef-4810-bd48-bb76449c7bfd.jpg,2:Protected dug well,1:Hand pump,9:India Mark II,<Null>,2:No,<Null>,4:No - Broken down,4:Over a year ago,5:More than a year,Yes,3:Damaged Pump,Always water,<Null>,1:Yes,<Null>,<Null>,<Null>,<Null>,2010,UNICEF,SILPA,1:Community,1:WASH management committee,1:Yes,1:Yes,Yes,999:Don't know,60,No,<Null>,<Null>,<Null>,<Null>,<Null>,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
