District,Chiefdom,Section,Community,Community Name,7430032|Water point Name,2420047|Latitude,--GEOLON--|Longitude,--GEOELE--|Elevation,--GEOCODE--|Geo Code,Photo,|Type of water point,Extraction system type,Pump type,Number of taps at this point,Are you able to measure the depth of well?,Measure the depth of the well (in metres),Water point Functionality,When did the water point break down?,"Last time the water point broke down, how long did it take to repair?",Is/was this point monthly or regularly chlorinated?,Does this Water point have any damage?,Is water available throughout the year?,"During the seasonal drought of the well, how long is it not available? (months)",Is/was this point used for drinking water,Why is this point not used for drinking water?,Is the water paid for at this point?,How reliable is the water point?,Is the water clean or is there a quality problem?,Year of construction,Installer / implementing agency,Others Installer / implementing agency,Who owns the water point?,Who is maintaining the water point (routine repairs)?,Is there a WASH management committee?,Is the WASH management committee functioning?,Is there a trained mechanic available at this point?,Were trained mechanics provided with toolkits?,How many minutes does it take to reach the nearest spare part supplier?,Has the community been declared ODF?,Do you think the community is still ODF?,Are there functioning latrines in this village?,Do the latrines have handwashing facilities?,Are there trained natural ODF leaders in this community?,Are the trained natural ODF leaders performing their role effectively?,Observations about toilet,Observe presence of water at the specific place for hand washing,Observe what device is present for hand washing,Record if soap or detergent is present at the specific place for hand washing
West ,Western Urban,West I,Kingtom,KINGTOM,KINGTOM,8.486413,-13.242527,53,atuz0oll,https://akvoflow-110.s3.amazonaws.com/images/fc9aec9a-649d-4d4e-8d70-15067e19f522.jpg,7:Piped water into dwelling/plot/yard,<Null>,<Null>,1,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,<Null>,9:No Damages,Always water,<Null>,1:Yes,<Null>,"3:Yes, Metered (LE/m3)","1:Good, practically always",1:Crystal clear,2016,GVWC,GVWC,8:Private Individual,1:WASH management committee,1:Yes,1:Yes,Yes,1:Yes,25,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,1:Water is available,1:No device present,5:None
West ,Western Urban,West III,Lumley,Lumley,16B Amadu Lane,8.456882,-13.269345,121,asi4vnf9,https://akvoflow-110.s3.amazonaws.com/images/4df0e8e6-76c4-46a7-b54f-b582ad9cf763.jpg,7:Piped water into dwelling/plot/yard,<Null>,<Null>,1,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,5:More than a year,<Null>,9:No Damages,Always water,<Null>,2:No,"because of brownish colouration,at the start of the rationing hour before the water eventually becomes crystal clear","4:Yes, Flat rate (LE/HH/month)",3:Insufficient (> 7 days per month no supply),1:Crystal clear,2009,Private,<Null>,8:Private Individual,3:Privat owner,2:No,<Null>,No,<Null>,15,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Urban,East III,Old Warf,Old warf,10b old warf road sesay compound water point,8.44438,-13.157979,55.1,arxgnse3,https://akvoflow-110.s3.amazonaws.com/images/aafdf9b0-5491-4842-b679-f0a761ae187a.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",<Null>,<Null>,2:No,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,Yes,6:Damaged Concrete|OTHER:no fence,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2014,Private,none,8:Private Individual,3:Privat owner,2:No,<Null>,No,<Null>,5,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Waterloo Benguema,MacDonald,MacDonald water points twenty one,8.284589,-13.079479,135.8,akl6kwve,https://akvoflow-110.s3.amazonaws.com/images/53dc0976-51d5-42ae-ba88-b445542e2296.jpg,1:Protected spring,<Null>,<Null>,<Null>,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,2:Less than a week,<Null>,4:Damaged Pipe,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2014,WHH/ German Agro Action,Private,8:Private Individual,3:Privat owner,2:No,<Null>,Yes,2:No,90,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,1:Water is available,3:Bucket,1:Bar soap
West ,Western Urban,East III,Kissy Brook II,Kissy Brook 2,Brooks Drive,8.475888,-13.208686,51.9,atdk38c6,https://akvoflow-110.s3.amazonaws.com/images/e1e84ee5-091e-418e-a5b8-59c2ee21e962.jpg,7:Piped water into dwelling/plot/yard,<Null>,<Null>,One,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,6:I don't know,<Null>,9:No Damages,Always water,<Null>,1:Yes,<Null>,"4:Yes, Flat rate (LE/HH/month)",2:Reasonable (< 7 days per month no supply),"2:Coloured (e.g. whitish, brown, green)",2012,GVWC,Guma,8:Private Individual,3:Privat owner,2:No,<Null>,Yes,999:Don't know,3,No,<Null>,<Null>,<Null>,<Null>,<Null>,7:No toilet in household / not applicable,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Mountain Rural,Gloucester,Shalom,Shalom,8.442165,-13.21567,72.7,artshkjg,https://akvoflow-110.s3.amazonaws.com/images/533ab0d1-14d3-4272-b5a3-ff888d3d8afe.jpg,7:Piped water into dwelling/plot/yard,<Null>,<Null>,one,<Null>,<Null>,2:Yes – Functional (but not in use),<Null>,1:Water point has never broken down,<Null>,9:No Damages,Seasonal,5,1:Yes,<Null>,"4:Yes, Flat rate (LE/HH/month)","1:Good, practically always",<Null>,2014,GVWC,Gvwc,8:Private Individual,5:GUMA,2:No,<Null>,Unknown,<Null>,160,Don't know,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,1:Water is available,3:Bucket,1:Bar soap
West ,Western Urban,East III,Bottom Oku,Bottom Oku,7 Becle street Acofejeh water point b,8.451707,-13.166439,91.1,as9kh39s,https://akvoflow-110.s3.amazonaws.com/images/a73bfc80-8b0e-4219-b33a-f38acf0472de.jpg,7:Piped water into dwelling/plot/yard,<Null>,<Null>,1,<Null>,<Null>,3:Yes - But damaged,<Null>,3:Over a week,<Null>,4:Damaged Pipe|5:Damaged Tap|OTHER:damage base,Seasonal,7,1:Yes,<Null>,"2:Yes, Per jerrican 20L","1:Good, practically always",1:Crystal clear,2000,GVWC,none,8:Private Individual,3:Privat owner,2:No,<Null>,No,<Null>,20,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,2:Water is not available,1:No device present,5:None
West ,Western Urban,East III,Robis,gassama st,34,8.433638,-13.165278,90.5,arfomt50,https://akvoflow-110.s3.amazonaws.com/images/2e7a7c4e-3a34-4b0f-8f2c-e5965b4bbba7.jpg,6:Public tap/standpipe (stand-alone or water kiosk,5:Gravity,<Null>,2,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,3:Over a week,<Null>,9:No Damages,Dry always / Never water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2016,<Null>,community,1:Community,1:WASH management committee,1:Yes,1:Yes,No,<Null>,120,No,<Null>,<Null>,<Null>,<Null>,<Null>,1:Visible faecal residues around the drop hole or basin|6:Toilet looks good,1:Water is available,1:No device present,5:None
West ,Western Rural ,York Rural,Sattia/Tombo,Tombo,Tombo water points four,8.220817,-13.097241,93.3,ahnpvobg,https://akvoflow-110.s3.amazonaws.com/images/592e915a-adc1-4b5f-98dc-bbe0cf9225f7.jpg,6:Public tap/standpipe (stand-alone or water kiosk,"7:Hand manual (e.g. rope pump, rope & bucket)",<Null>,One,<Null>,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,<Null>,2:Damaged Apron|6:Damaged Concrete,Seasonal,6,1:Yes,<Null>,1:No payment – its free,3:Insufficient (> 7 days per month no supply),1:Crystal clear,2014,Private,private,8:Private Individual,3:Privat owner,2:No,<Null>,Yes,2:No,45,No,<Null>,<Null>,<Null>,<Null>,<Null>,5:The toilet smells bad,2:Water is not available,1:No device present,5:None
West ,Western Rural ,Waterloo Rural,Jui-Grafton,kossoh town,moko town,8.389242,-13.14903,59.7,ape9rmoy,https://akvoflow-110.s3.amazonaws.com/images/a0460c07-d81c-4777-8576-f5f1775c1b19.jpg,2:Protected dug well,"7:Hand manual (e.g. rope pump, rope & bucket)",<Null>,<Null>,2:No,<Null>,1:Yes – Functional (and in use),<Null>,1:Water point has never broken down,Yes,9:No Damages,Always water,<Null>,1:Yes,<Null>,1:No payment – its free,"1:Good, practically always",1:Crystal clear,2013,Private,private,8:Private Individual,3:Privat owner,1:Yes,2:No,Yes,1:Yes,60,No,<Null>,<Null>,<Null>,<Null>,<Null>,6:Toilet looks good,1:Water is available,5:Water kettle/cooler,3:Liquid soap
