Region,District,Chiefdom,Section,wp name,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination,maint_con
East,Kono,Nimikoro,Jiama,public stand,public tap/kiosk,Functional in use,Seasonal,Yes,Community,School,Yes,Yes,Gravity,Less than a week,,School
East,Kono,Gbense,Hill station,community well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,Less than a week,Yes,other
East,Kono,Soa,Koakor Village,Community Well,borewell,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Hand pump,never broken,No,other
East,Kono,Nimikoro,Njala,public Stand post,public tap/kiosk,Functional in use,Always water,Yes,Community,Other community group,No,No,Gravity,never broken,,other
East,Kono,Gbense,Hill station community,Kamamda family,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
East,Kono,Nimiyama,masingbi  Road,masingbi  Road,public tap/kiosk,Functional but damaged,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Gravity,Over a month,,WASH management committee
East,Kono,Koidu City,Koidu city,Hand Dug Well,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,,,,other
East,Kono,Kamara,Tombodu,Tombodu  community,protec dug_well,Functional in use,Seasonal,Yes,Health Facility,Health Facility,Yes,Yes,Hand pump,never broken,Yes,Health Facility
East,Kono,Soa,Fembedu Village,Community Stand Tap,public tap/kiosk,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Gravity,Over a week,,other
East,Kenema,Dama,Gbewordu Dama,Mohamed Mansaray - Ptotected Hand Dug Well,protec dug_well,Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,Yes,WASH management committee
East,Kono,Lei,Koema,Masie,public tap,Functional in use,Always water,Yes,Community,WASH management committee,Yes,No,,Over a month,,WASH management committee
East,Kailahun,Jawie,Sebema road,Faway primary school,public tap/kiosk,Broken down,Seasonal,Yes,School,School,No,No,Gravity,More than a year,,School
East,Kailahun,Yawei,Kpongbolu Well.2,Kpongbolu Water Well.2,protec dug_well,Broken down,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes,other
East,Kono,Koidu City,Gbense moindefeh A.Koidu town,Privat water well,protec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Less than a week,Yes,other
East,Kailahun,Kissi Tongi,Buedu,BiamaRoadWaterPoint3,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No,other
East,Kailahun,Upper Bambara,Giema,Giema,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Don't know,Hand pump,never broken,Yes,other
East,Kono,Gbense,Koidu City,NA Quarter,unprotec dug_well,Functional in use,Always water,No,NGO,Local council,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",I don't know,No,Local council
East,Kailahun,Dea,Baiwala,Non,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",Over a week,Yes,other
East,Kailahun,Kpeje West,Bunumbu two-dimensional,Váyanse Water Well,unprotec dug_well,Functional in use,Seasonal,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,Yes,other
East,Kailahun,Mandu,Nyanyagohun,Non,borewell,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a week,Yes,other
East,Kailahun,Luawa,Kailahun,Torkpombu Water point,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Unknown,Don't know,Hand pump,never broken,No,other
East,Kono,Sandor,kayima,hand dug well,protec dug_well,Functional in use,Seasonal,Yes,School,School,No,Yes,Hand pump,Less than a week,Yes,School
East,Kono,Sandor,Yormardu,Yormadu community pump,protec dug_well,Functional in use,Dry always / Never water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No,other
East,Kailahun,Jawie,New London,New London community,protec dug_well,Broken down,Seasonal,Yes,Community,SALWACO,No,No,Hand pump,I don't know,Unkown,SALWACO
East,Kono,Sandor,Gbeicho,Gbeicho,private tap,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,,never broken,,other
East,Kailahun,Upper Bambara,Pendembu,Pendembu,protec dug_well,Functional in use,Always water,Yes,School,School,No,No,Hand pump,never broken,Yes,School
East,Kailahun,Jawie,Goa,School water point,protec dug_well,Functional in use,Seasonal,Yes,School,School,Yes,No,Hand pump,never broken,Yes,School
East,Kenema,Kenema City,Kondehbotihun,Mr Abdulai  Barrie,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
East,Kailahun,Jawie,Tawovehun,Wosoma,protec dug_well,Broken down,Always water,Yes,Community,SALWACO,No,No,Hand pump,More than a year,Yes,SALWACO
East,Kono,Nimikoro,Seidu,hand dug well,protec dug_well,Functional in use,Always water,Yes,School,School,Yes,No,Hand pump,never broken,Yes,School
East,Kailahun,Upper Bambara,Pendembu,Pendembu,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
East,Kailahun,Luawa,Kailahun,Kissitown  water  point,unprotec dug_well,Functional in use,Always water,No,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",More than a year,No,other
East,Kono,Sandor,Gbeicho,Gbeicho .,private tap,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,,Less than a week,,other
East,Kailahun,Kissi Teng,Baoma Kukuma,Baoma water point,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,More than a year,No,other
East,Kono,Tankoro,Senehun Village,Community Well,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,Yes,Yes,Hand pump,More than a year,Yes,other
East,Kono,Nimikoro,Jaiama nimikoro,public Stand post,public tap/kiosk,Broken down,Always water,Yes,Community,Other community group,No,No,Gravity,Less than a week,,other
East,Kono,Gbense,fadar,bore hole,protec dug_well,Functional in use,Seasonal,Yes,Community,Other community group,No,Yes,Hand pump,Less than a week,Yes,other
East,Kono,Nimikoro,Wanjama,Public Stand Post,public tap/kiosk,Functional in use,Always water,Yes,Community,Community,No,No,Gravity,Over a week,,Community
East,Kono,Gbense,Baiama,Bore hole,borewell,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,never broken,No,other
East,Kono,Nimikoro,Motema,Hand Dug Well,protec dug_well,Broken down,Seasonal,Yes,Community,Community,No,No,Hand pump,I don't know,Yes,Community
East,Kono,Koidu City,Gbense Sinnah town,hand dug well,protec dug_well,Functional NOT in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Less than a week,No,other
East,Kono,Nimikoro,nyamdu,Bore hole,borewell,Functional in use,Always water,Yes,Community,Other community group,No,No,Hand pump,I don't know,No,other
East,Kono,Gbense,gbukuma,hand dug well,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,Yes,Hand pump,Less than a week,Unkown,other
East,Kailahun,Kpeje West,Moyamba,Peyama Well 4,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,No,other
East,Kono,Gorama Kono,Tokpumbu,Hand Dug Well,protec dug_well,Functional NOT in use,Always water,Yes,Community,Local council,Yes,No,Hand pump,Over a month,Yes,Local council
East,Kono,Nimikoro,Motema,Hand Dug Well,protec dug_well,Functional in use,Always water,Yes,Community,Community,No,No,Hand pump,never broken,Yes,Community
East,Kono,Nimikoro,Motema,Bore hole,borewell,Functional in use,Seasonal,Yes,Community,NGO,No,No,Hand pump,Over a month,Yes,NGO
East,Kono,Gbane Kandor,Kunteh Village,R.C.Primary School Kunteh,protec dug_well,Broken down,Seasonal,Yes,School,Other community group,Yes,Yes,Hand pump,More than a year,No,other
East,Kailahun,Malema,Njeihun 2,community spring,spring_protec,Functional but damaged,Always water,Yes,Community,WASH management committee,Yes,No,,Over a month,,WASH management committee
East,Kailahun,Kissi Teng,Nyordu,AOG Primary School Pump,protec dug_well,Functional NOT in use,Always water,No,School,School,Yes,Yes,Hand pump,never broken,Yes,School
