Region,District,Chiefdom,Section,wp name,GEOCODE,Photo,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination
East,Kono,Nimikoro,Jiama,public stand,awe738th,//akvoflow-110.s3.amazonaws.com/images/286e1acf-cefb-441e-a79f-f493dceaae29.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Seasonal,Yes,Community,School,Yes,Yes,Gravity,Less than a week,
East,Kono,Gbense,Hill station,community well,b1bdbzjf,//akvoflow-110.s3.amazonaws.com/images/55d7feb4-84e2-46cd-88d1-cd767d2ce198.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Hand pump,Less than a week,Yes
East,Kono,Soa,Koakor Village,Community Well,ayuwoa5l,//akvoflow-110.s3.amazonaws.com/images/9bbfca39-c729-44c4-b7aa-116d73f6f716.jpg,Tube well or borehole,Yes – Functional (and in use),Always water,Yes,Community,Other community group,Yes,No,Hand pump,Water point has never broken down,No
East,Kono,Nimikoro,Njala,public Stand post,axw6e32e,//akvoflow-110.s3.amazonaws.com/images/348f271a-69c0-46d9-ad69-73398d42d798.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,Other community group,No,No,Gravity,Water point has never broken down,
East,Kono,Gbense,Hill station community,Kamamda family,b147jajl,//akvoflow-110.s3.amazonaws.com/images/813b3a5b-0657-4ec6-9cb1-be9ba0bdece0.jpg,Protected dug well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Water point has never broken down,Yes
East,Kono,Nimiyama,masingbi  Road,masingbi  Road,awddblrz,//akvoflow-110.s3.amazonaws.com/images/bc51ddcd-97bc-4e76-ac1e-4ff8fae6da5e.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes - But damaged,Seasonal,Yes,Community,WASH management committee,Yes,Yes,Gravity,Over a month,
East,Kono,Koidu City,Koidu city,Hand Dug Well,b0iht5kc,//akvoflow-110.s3.amazonaws.com/images/29b2be90-b371-470d-9bb9-7011f9364673.jpg,Protected Shallow Well,Yes – Functional (and in use),Always water,Yes,Private Individual,Privat owner,No,No,,,
East,Kono,Kamara,Tombodu,Tombodu  community,b3reid0f,//akvoflow-110.s3.amazonaws.com/images/20f781ff-5228-4b3f-953b-cc43c360fee1.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Health Facility,Health Facility,Yes,Yes,Hand pump,Water point has never broken down,Yes
East,Kono,Soa,Fembedu Village,Community Stand Tap,azey9o4y,//akvoflow-110.s3.amazonaws.com/images/634c9a18-4d01-4482-8947-c9892d15bfe8.jpg,Public tap/standpipe (stand-alone or water kiosk,Yes – Functional (and in use),Always water,Yes,Community,Other community group,Yes,No,Gravity,Over a week,
East,Kenema,Dama,Gbewordu Dama,Mohamed Mansaray - Ptotected Hand Dug Well,9toyzedi,//akvoflow-110.s3.amazonaws.com/images/0e2cfc6d-e5ef-4810-bd48-bb76449c7bfd.jpg,Protected dug well,No - Broken down,Always water,Yes,Community,WASH management committee,Yes,No,Hand pump,More than a year,Yes
East,Kono,Lei,Koema,Masie,bas4f6bf,//akvoflow-110.s3.amazonaws.com/images/5c4d861d-bd82-4145-b163-f2bc136bb806.jpg,Dam/pan (runoff harvesting),Yes – Functional (and in use),Always water,Yes,Community,WASH management committee,Yes,No,,Over a month,
East,Kailahun,Jawie,Sebema road,Faway primary school,a6zbl1b6,//akvoflow-110.s3.amazonaws.com/images/418c6954-e2a1-4637-a866-ce2d2379dd75.jpg,Public tap/standpipe (stand-alone or water kiosk,No - Broken down,Seasonal,Yes,School,School,No,No,Gravity,More than a year,
East,Kailahun,Yawei,Kpongbolu Well.2,Kpongbolu Water Well.2,aogzuzfm,//akvoflow-110.s3.amazonaws.com/images/b4350640-6d36-405c-a619-2fd50c4ab28c.jpg,Protected dug well,No - Broken down,Always water,Yes,Community,Other community group,No,No,Hand pump,Over a month,Yes
East,Kono,Koidu City,Gbense moindefeh A.Koidu town,Privat water well,b1afe9xr,//akvoflow-110.s3.amazonaws.com/images/4e25feea-471c-4190-b741-c9fd4ffec6a1.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,"Hand manual (e.g. rope pump, rope & bucket)",Less than a week,Yes
East,Kailahun,Kissi Tongi,Buedu,BiamaRoadWaterPoint3,akha217v,//akvoflow-110.s3.amazonaws.com/images/7df2aebc-ab0f-4666-ab65-426742bd38da.jpg,Protected dug well,Yes – Functional (and in use),Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a month,No
